,1. open,2. high,3. low,4. close,5. volume,ticker
2020-07-03,1566.7606,1625.5141,1537.7465,1620.7086,7610496.0,RELIANCE.BSE
2020-06-26,1609.4203,1635.7597,1552.7975,1579.9982,13577840.0,RELIANCE.BSE
2020-06-19,1429.8504,1621.706,1415.842,1595.3213,14454366.0,RELIANCE.BSE
2020-06-12,1472.4648,1472.4648,1355.5018,1440.5493,6282668.0,RELIANCE.BSE
2020-06-05,1341.9014,1466.7526,1337.9573,1433.1144,6498362.0,RELIANCE.BSE
2020-05-29,1305.0898,1341.1761,1280.4278,1328.4824,4656682.0,RELIANCE.BSE
2020-05-22,1334.4665,1343.7148,1263.6087,1298.0176,8136686.0,RELIANCE.BSE
2020-05-15,1434.3836,1464.1684,1283.4652,1322.7702,14417665.0,RELIANCE.BSE
2020-05-08,1307.447,1432.2982,1287.2732,1416.0684,9589872.0,RELIANCE.BSE
2020-04-30,1305.6336,1355.0482,1262.0672,1330.1596,8832070.0,RELIANCE.BSE
2020-04-24,1112.0554,1355.5016,1055.7952,1285.0972,17142543.0,RELIANCE.BSE
2020-04-17,1095.2816,1120.6236,1036.0746,1110.7406,4909178.0,RELIANCE.BSE
2020-04-09,1002.7992,1117.7222,998.2658,1105.4364,5944301.0,RELIANCE.BSE
2020-04-03,950.1658,1026.0104,924.8238,977.5932,11903224.0,RELIANCE.BSE
2020-03-27,834.1548,1044.507,793.9884,966.0782,420530281.0,RELIANCE.BSE
